# Rime user dictionary
#@/db_name	luna_pinyin_simp.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	5015
#@/user_id	745a313e-3b80-4f42-9e1d-fa237096293f
a 	啊	c=9 d=1.71725 t=5015
cai xu yao 	才需要	c=1 d=0.0161635 t=5015
can kao 	參考	c=0 d=0.00409665 t=5015
can shu 	參數	c=6 d=0.930778 t=5015
can shu er 	參數而	c=1 d=0.0958472 t=5015
can shu hui xian 	參數回顯	c=3 d=1.74246 t=5015
can shu ke yi 	參數可以	c=1 d=0.718924 t=5015
can shu lei xing 	參數類型	c=1 d=0.0328764 t=5015
can shu san 	參數三	c=1 d=0.0972957 t=5015
can shu si 	參數四	c=1 d=0.0997588 t=5015
can shu yi 	參數一	c=1 d=0.0944202 t=5015
cang tian 	蒼天	c=0 d=0.0748264 t=5015
cao zuo 	操作	c=6 d=1.05985 t=5015
cao zuo fang fa 	操作方法	c=1 d=0.516851 t=5015
cao zuo gong ju 	操作工具	c=1 d=0.169483 t=5015
cao zuo huan cun 	操作緩存	c=2 d=0.0174337 t=5015
cao zuo shang pin 	操作商品	c=1 d=0.733447 t=5015
cao zuo yong hu cheng gong 	操作用戶成功	c=1 d=0.348192 t=5015
cao zuo zhi chi 	操作支持	c=1 d=0.0710054 t=5015
ce lve 	策略	c=0 d=0.00605068 t=5015
ce shi 	測試	c=12 d=0.514137 t=5015
ce shi bu 	測試部	c=1 d=1 t=5015
ce shi lei 	測試類	c=1 d=0.327915 t=5015
ce shi ni xiang sheng cheng 	測試逆向生成	c=1 d=0.806541 t=5015
ceng 	層	c=13 d=1.59119 t=5015
ceng jing you 	曾經有	c=0 d=0.0904837 t=5015
cha 	查	c=3 d=1.00523 t=5015
cha jian 	插件	c=2 d=0.70822 t=5015
cha kan 	查看	c=2 d=0.572903 t=5015
cha kan ge ren xin xi 	查看個人信息	c=1 d=0.113042 t=5015
cha kan suo you shang pin 	查看所有商品	c=3 d=1.45633 t=5015
cha ru 	插入	c=5 d=1.12532 t=5015
cha ru bu men shu ju 	插入部門數據	c=1 d=0.293758 t=5015
cha xun 	查詢	c=17 d=0.708408 t=5015
cha xun cuo wu 	查詢錯誤	c=1 d=0.571209 t=5015
cha xun dao 	查詢到	c=1 d=0.128735 t=5015
cha xun dui xiang 	查詢對象	c=1 d=0.180866 t=5015
cha xun huan cun 	查詢緩存	c=1 d=0.0057994 t=5015
cha xun quan bu 	查詢全部	c=1 d=0.0157644 t=5015
cha xun shi 	查詢時	c=1 d=0.0308074 t=5015
cha xun suo you 	查詢所有	c=2 d=0.0383884 t=5015
cha xun suo you shu ju 	查詢所有數據	c=1 d=0.715338 t=5015
cha xun yu ju 	查詢語句	c=4 d=0.0820356 t=5015
cha yi ge 	查一個	c=1 d=0.10435 t=5015
cha yuan gong 	查員工	c=1 d=0.0125881 t=5015
cha zhao 	查找	c=0 d=0.0105928 t=5015
chan pin 	產品	c=0 d=0.0224249 t=5015
chang de 	唱的	c=1 d=0.516851 t=5015
chang du 	長度	c=2 d=0.112184 t=5015
chang jian 	常見	c=1 d=0.0117371 t=5015
chang liang 	常量	c=2 d=1.91678 t=5015
chang yong 	常用	c=4 d=0.618047 t=5015
chang yong biao qian 	常用標籤	c=1 d=0.0850088 t=5015
