# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	173558
#@/user_id	745a313e-3b80-4f42-9e1d-fa237096293f
an zhuang yi bian 	安裝一遍	c=1 d=0.0241131 t=173558
an zhuang yi ci 	安裝一次	c=1 d=0.000500451 t=173558
an zhuang yi ge 	安裝一個	c=1 d=1.09191e-05 t=173558
an zhuang yi xia 	安裝一下	c=7 d=0.400917 t=173558
an zhuang yi xia bao xian 	安裝一下保險	c=1 d=0.0837432 t=173558
an zhuang zai 	安裝在	c=2 d=0.0172205 t=173558
an zhuang zhi hou 	安裝之後	c=4 d=0.0432828 t=173558
an zhuo 	安卓	c=54 d=0.0463787 t=173558
an zhuo ban ben 	安卓版本	c=1 d=1 t=152041
an zhuo duan 	安卓端	c=6 d=1.04138 t=154997
an zhuo ji qi 	安卓機器	c=1 d=1 t=148190
an zhuo shang 	安卓上	c=1 d=1 t=165088
an zhuo shou ji 	安卓手機	c=1 d=1 t=155753
an zhuo shou ji shang 	安卓手機上	c=1 d=1.2375e-07 t=173558
an zhuo yuan sheng 	安卓原生	c=1 d=1.38879e-11 t=131593
an zu ang 	按租昂	c=1 d=2.24356e-36 t=173558
ao 	奧	c=15 d=1.00048e-35 t=173558
ao 	澳	c=0 d=0.199501 t=132837
ao 	熬	c=2 d=2.449e-08 t=173558
ao ao 	嗷嗷	c=2 d=8.28341e-50 t=173558
ao ba ma 	奧巴馬	c=7 d=0.0846398 t=173558
ao de sai 	奧德賽	c=1 d=0.0216013 t=173558
ao en 	奧恩	c=1 d=0.554327 t=119396
ao jiao 	傲嬌	c=1 d=3.08054e-60 t=131593
ao le 	奧了	c=1 d=1.4897e-42 t=131593
ao mei 	傲梅	c=1 d=1.71549e-114 t=131593
ao rui 	奧瑞	c=1 d=3.65076e-58 t=173558
ao shu 	奧數	c=0 d=1.47489e-190 t=131593
ao shu hui xing 	奧數彗星	c=1 d=1.48228e-189 t=131593
ao si ka 	奧斯卡	c=0 d=0.1 t=133479
